2)regulatorName,3)RegulatorGeneName,5)regulatedName,6)function,7)confidenceLevel 
OmrA,omrA,cirA,-,S 
OmrA,omrA,fepA,-,S 
OmrA,omrA,flhC,-,S 
OmrA,omrA,flhD,-,S 
OmrA,omrA,ompR,-,S 
OmrA,omrA,ompT,-,S 
OmrA,omrA,flgM,-,S 
OmrA,omrA,csgG,-,S 
OmrA,omrA,csgF,-,S 
OmrA,omrA,csgE,-,S 
OmrA,omrA,csgD,-,S 
OmrA,omrA,dgcM,-,S 
SraG,sraG,pnp,-,W 
ArcZ,arcZ,flhC,-,S 
ArcZ,arcZ,flhD,-,S 
ArcZ,arcZ,rpoS,+,S 
ArcZ,arcZ,mutS,-,S 
ArcZ,arcZ,lrhA,-,W 
ArcZ,arcZ,eptB,-,S 
RyhB,ryhB,bfr,-,W 
RyhB,ryhB,cirA,+,S 
RyhB,ryhB,cysE,-,S 
RyhB,ryhB,fumA,-,W 
RyhB,ryhB,fur,-,S 
RyhB,ryhB,hemB,-,W 
RyhB,ryhB,hemH,-,W 
RyhB,ryhB,nirB,-,S 
RyhB,ryhB,sdhA,-,S 
RyhB,ryhB,sdhB,-,W 
RyhB,ryhB,sdhC,-,W 
RyhB,ryhB,sdhD,-,W 
RyhB,ryhB,sodA,-,W 
RyhB,ryhB,sodB,-,S 
RyhB,ryhB,sucA,-,S 
RyhB,ryhB,sucB,-,W 
RyhB,ryhB,sucC,-,S 
RyhB,ryhB,sucD,-,S 
RyhB,ryhB,marA,-,W 
RyhB,ryhB,nuoM,-,S 
RyhB,ryhB,nuoF,-,S 
RyhB,ryhB,nuoA,-,S 
RyhB,ryhB,nuoB,-,S 
RyhB,ryhB,nuoC,-,S 
RyhB,ryhB,nuoE,-,S 
RyhB,ryhB,nuoG,-,S 
RyhB,ryhB,nuoH,-,S 
RyhB,ryhB,nuoI,-,S 
RyhB,ryhB,nuoJ,-,S 
RyhB,ryhB,nuoK,-,S 
RyhB,ryhB,nuoL,-,S 
RyhB,ryhB,nuoN,-,S 
RyhB,ryhB,iscA,-,S 
RyhB,ryhB,grxD,-,W 
RyhB,ryhB,acnB,-,W 
RyhB,ryhB,erpA,-,S 
RyhB,ryhB,msrB,-,S 
RyhB,ryhB,uof,-,S 
RyhB,ryhB,sdhX,-,S 
RyhB,ryhB,shiA,+,S 
RyhB,ryhB,iscU,-,S 
RyhB,ryhB,iscS,-,S 
RyhB,ryhB,iscR,-,S 
GlmZ,glmZ,glmS,+,W 
GlmZ,glmZ,glmU,+,W 
MicC,micC,ompC,-,S 
FliX,fliX,fliC,-,W 
FliX,fliX,rplB,-,S 
FliX,fliX,rplC,-,S 
FliX,fliX,rplD,-,S 
FliX,fliX,rplP,-,S 
FliX,fliX,rplV,-,S 
FliX,fliX,rplW,-,S 
FliX,fliX,rpmC,-,S 
FliX,fliX,rpsC,-,S 
FliX,fliX,rpsJ,-,S 
FliX,fliX,rpsQ,-,S 
FliX,fliX,rpsS,-,S 
MotR,motR,fliC,+,W 
MotR,motR,rplB,+,W 
MotR,motR,rplC,+,W 
MotR,motR,rplD,+,W 
MotR,motR,rplP,+,W 
MotR,motR,rplV,+,W 
MotR,motR,rplW,+,W 
MotR,motR,rpmC,+,W 
MotR,motR,rpsC,+,W 
MotR,motR,rpsJ,+,W 
MotR,motR,rpsQ,+,W 
MotR,motR,rpsS,+,W 
UhpU,uhpU,fliC,+,W 
UhpU,uhpU,lrhA,-,S 
AzuR,azuR,cadA,-,W 
AzuR,azuR,galE,-,W 
FimR2,fimR2,fliG,-,W 
FimR2,fimR2,fliR,-,W 
FimR2,fimR2,hofQ,+,W 
FimR2,fimR2,fliI,-,W 
FimR2,fimR2,fliJ,-,W 
GlnZ,glnZ,glnP,-,S 
GlnZ,glnZ,sucA,-,S 
AsflhD,asflhD,flhD,-,W 
StfZ,stfZ,ftsZ,-,W 
AmeF,ameF,mazE,+,W 
AmeF,ameF,mazF,+,W 
YrdG,yrdG,mscL,-,W 
acetyl-CoA carboxyltransferase,accA;accD,accD,-,W 
acetyl-CoA carboxyltransferase,accA;accD,accA,-,W 
Hfq,hfq,cirA,-,S 
Hfq,hfq,mutS,-,S 
Hfq,hfq,oppA,-,S 
ribonuclease E,rne,rne,-,S 
carbon storage regulator CsrA,csrA,glgA,-,S 
carbon storage regulator CsrA,csrA,glgC,-,S 
carbon storage regulator CsrA,csrA,glgP,-,S 
carbon storage regulator CsrA,csrA,sdiA,-,C 
carbon storage regulator CsrA,csrA,nhaR,-,S 
carbon storage regulator CsrA,csrA,glgS,-,W 
carbon storage regulator CsrA,csrA,dgcZ,-,S 
carbon storage regulator CsrA,csrA,pgaD,-,C 
carbon storage regulator CsrA,csrA,pgaC,-,C 
carbon storage regulator CsrA,csrA,pgaB,-,C 
carbon storage regulator CsrA,csrA,pgaA,-,C 
carbon storage regulator CsrA,csrA,dgcT,-,W 
SelB-L-selenocysteinyl-tRNA<sup>sec</sup>,selB,selA,-,C 
SelB-L-selenocysteinyl-tRNA<sup>sec</sup>,selB,selB,-,C 
small heat shock protein IbpA,ibpA,ibpA,-,S 
small heat shock protein IbpA,ibpA,ibpB,-,W 
S6:S18 ribosomal subunit complex,rpsR;rpsF,priB,-,C 
S6:S18 ribosomal subunit complex,rpsR;rpsF,rplI,-,C 
S6:S18 ribosomal subunit complex,rpsR;rpsF,rpsF,-,C 
S6:S18 ribosomal subunit complex,rpsR;rpsF,rpsR,-,C 
ATP-dependent RNA helicase DeaD,deaD,sdiA,+,W 
ATP-dependent RNA helicase DeaD,deaD,uvrY,+,W 
ATP-dependent RNA helicase DeaD,deaD,mntR,+,W 
threonine&mdash;tRNA ligase,thrS,thrS,-,S 
ExuR,exuR,uxaB,-,S 
