regulator,gene_name,gene_id,effect,evidence,source
RpoD,amiB,b4169,+,2,RegulonDB_sigma
LeuO,casA,b2760,+,2,RegulonDB_TF
LeuO,casB,b2759,+,2,RegulonDB_TF
LeuO,casC,b2758,+,2,RegulonDB_TF
SrsR,fucA,b2800,+,2,RegulonDB_TF
AgaR,kbaY,b3137,-,2,RegulonDB_TF
RutR,rutG,b1006,-,2,RegulonDB_TF
RutR,rutR,b1013,-,2,RegulonDB_TF
NanR,nanM,b4310,-,2,RegulonDB_TF
NanR,nanC,b4311,-,2,RegulonDB_TF
PdhR,ndh,b1109,-,2,RegulonDB_TF
PdhR,ppsA,b1702,+,2,RegulonDB_TF
BluR,ariR,b1166,-,2,RegulonDB_TF
BluR,ymgA,b1165,-,2,RegulonDB_TF
BluR,ycgZ,b1164,-,2,RegulonDB_TF
PdhR,pdhR,b0113,-,2,RegulonDB_TF
PdhR,ppsR,b1703,+,2,RegulonDB_TF
MhpR,mhpF,b0351,+,2,RegulonDB_TF
PdhR,lldP,b3603,-,2,RegulonDB_TF
MetJ,metA,b4013,-,2,RegulonDB_TF
DicA,ydfX,b1568,-,2,RegulonDB_TF
DicA,ydfW,b1567,-,2,RegulonDB_TF
MhpR,mhpD,b0350,+,2,RegulonDB_TF
DicA,dicC,b1569,-,2,RegulonDB_TF
ArcA,argT,b2310,-,2,RegulonDB_TF
PdhR,glcB,b2976,-,2,RegulonDB_TF
DicA,dicA,b1570,+,2,RegulonDB_TF
OxyR,fhuF,b4367,-,2,RegulonDB_TF
ArcA,aldA,b1415,-,2,RegulonDB_TF
OxyR,mntH,b2392,+,2,RegulonDB_TF
