,imodulon,annotation,pvalue,qvalue,precision,recall,f1score,TP,target_set_size,imodulon_size,source,pathway_name,module_name
132,ArcA-2,3-hydroxyacyl-CoA dehydrogenase activity,0.00016278938436529997,0.08460978252386465,0.08695652173913043,0.5,0.14814814814814817,2.0,16.0,23.0,GO,,
133,ArcA-2,acetyl-CoA C-acyltransferase activity,0.00016278938436529997,0.08460978252386465,0.08695652173913043,0.5,0.14814814814814817,2.0,16.0,23.0,GO,,
134,His-tRNA,L-histidine biosynthetic process,2.2177841158627843e-20,9.221546353757456e-17,1.0,0.7,0.8235294117647058,7.0,50.0,7.0,GO,,
135,His-tRNA,imidazoleglycerol-phosphate synthase activity,2.266751292048237e-06,0.0031417172907788563,0.2857142857142857,1.0,0.4444444444444445,2.0,9.0,7.0,GO,,
136,His-tRNA,imidazoleglycerol-phosphate synthase complex,2.266751292048237e-06,0.0031417172907788563,0.2857142857142857,1.0,0.4444444444444445,2.0,4.0,7.0,GO,,
137,FliA,chemotaxis,1.0156258024247709e-20,4.222972086482197e-17,0.41935483870967744,0.37142857142857144,0.393939393939394,13.0,85.0,31.0,GO,,
138,FliA,methyl accepting chemotaxis protein complex,4.8598580553915665e-16,1.0103644897159067e-12,0.22580645161290322,1.0,0.3684210526315789,7.0,12.0,31.0,GO,,
139,FliA,bacterial-type flagellum,2.6448965430509615e-13,3.6658266086686326e-10,0.2903225806451613,0.2903225806451613,0.2903225806451613,9.0,73.0,31.0,GO,,
140,FliA,regulation of chemotaxis,1.3821212008392601e-11,1.4367149882724108e-08,0.16129032258064516,1.0,0.27777777777777773,5.0,8.0,31.0,GO,,
141,FliA,regulation of bacterial-type flagellum-dependent cell motility,3.765650161617657e-11,3.131514674401243e-08,0.1935483870967742,0.5454545454545454,0.2857142857142857,6.0,17.0,31.0,GO,,
142,FliA,transmembrane signaling receptor activity,8.250942145475305e-11,5.4180205207492806e-08,0.16129032258064516,0.8333333333333334,0.27027027027027023,5.0,16.0,31.0,GO,,
143,FliA,signal transduction,9.121246667928081e-11,5.4180205207492806e-08,0.25806451612903225,0.21621621621621623,0.23529411764705882,8.0,71.0,31.0,GO,,
144,FliA,bacterial-type flagellum-dependent cell motility,6.388541815143599e-09,3.320444608420885e-06,0.22580645161290322,0.1794871794871795,0.2,7.0,63.0,31.0,GO,,
145,FliA,positive regulation of post-translational protein modification,3.382705440641686e-07,0.0001562809913576459,0.0967741935483871,1.0,0.17647058823529413,3.0,3.0,31.0,GO,,
146,FliA,archaeal or bacterial-type flagellum-dependent cell motility,1.0468045392950526e-06,0.00043526132743888286,0.12903225806451613,0.3333333333333333,0.18604651162790697,4.0,12.0,31.0,GO,,
147,FliA,extracellular region,2.8433770072476117e-06,0.0010747965087395974,0.12903225806451613,0.26666666666666666,0.17391304347826086,4.0,28.0,31.0,GO,,
148,FliA,bacterial-type flagellum hook,3.349763349664793e-06,0.0011606930006588508,0.0967741935483871,0.6,0.16666666666666666,3.0,8.0,31.0,GO,,
149,FliA,bacterial-type flagellum organization,6.278631898399787e-06,0.002008196264118947,0.12903225806451613,0.2222222222222222,0.16326530612244897,4.0,20.0,31.0,GO,,
150,FliA,signal complex assembly,5.0192350038210944e-05,0.010984199550467427,0.06451612903225806,1.0,0.12121212121212122,2.0,2.0,31.0,GO,,
151,FliA,proton channel activity,5.0192350038210944e-05,0.010984199550467427,0.06451612903225806,1.0,0.12121212121212122,2.0,2.0,31.0,GO,,
152,FliA,protein binding,4.341717454724395e-05,0.010984199550467427,0.6129032258064516,0.016710642040457344,0.032534246575342464,19.0,4119.0,31.0,GO,,
153,FliA,aerotaxis,5.0192350038210944e-05,0.010984199550467427,0.06451612903225806,1.0,0.12121212121212122,2.0,2.0,31.0,GO,,
154,FliA,cell tip,5.0192350038210944e-05,0.010984199550467427,0.06451612903225806,1.0,0.12121212121212122,2.0,2.0,31.0,GO,,
155,FliA,detection of chemical stimulus,5.0192350038210944e-05,0.010984199550467427,0.06451612903225806,1.0,0.12121212121212122,2.0,2.0,31.0,GO,,
156,FliA,structural molecule activity,5.3672917268143484e-05,0.01115859950004703,0.0967741935483871,0.2727272727272727,0.14285714285714285,3.0,12.0,31.0,GO,,
157,FliA,cellular response to amino acid stimulus,0.00014990050902650447,0.02968030078724788,0.06451612903225806,0.6666666666666666,0.1176470588235294,2.0,3.0,31.0,GO,,
158,FliA,protein homooligomerization,0.000298454540880402,0.053955390477422246,0.06451612903225806,0.5,0.1142857142857143,2.0,5.0,31.0,GO,,
159,FliA,bacterial-type flagellum stator complex,0.000298454540880402,0.053955390477422246,0.06451612903225806,0.5,0.1142857142857143,2.0,5.0,31.0,GO,,
160,FliA,bacterial-type flagellum-dependent swimming motility,0.0004951910592342269,0.0857918510123298,0.06451612903225806,0.4,0.1111111111111111,2.0,9.0,31.0,GO,,
161,FliA,bacterial-type flagellum assembly,0.0005432976439972016,0.09036126414961457,0.0967741935483871,0.13043478260869565,0.1111111111111111,3.0,27.0,31.0,GO,,
162,TrpR,tryptophan biosynthetic process,2.546495058406827e-13,1.0588326452855587e-09,0.625,0.625,0.625,5.0,30.0,8.0,GO,,
163,TrpR,tryptophan metabolic process,1.684239195414369e-08,3.501533287266473e-05,0.375,0.75,0.5,3.0,4.0,8.0,GO,,
164,TrpR,aromatic amino acid family biosynthetic process,1.8975179939504133e-06,0.002629959939615273,0.375,0.2,0.26086956521739135,3.0,32.0,8.0,GO,,
165,TrpR,tryptophan synthase activity,3.022335056064315e-06,0.0031417172907788555,0.25,1.0,0.4,2.0,12.0,8.0,GO,,
